TERRYR,year_,Count,InABS
WBEN89,1989,1087,TRUE
WCOP89,1989,7596,TRUE
WSIX89,1989,4061,FALSE
XRDS89,1989,4892,TRUE
ARCT90,1990,2161,TRUE
BEND90,1990,5643,TRUE
BIGL90,1990,10407,TRUE
BNCH90,1990,6764,TRUE
CABS90,1990,4333,TRUE
CACT90,1990,4235,FALSE
CRAN90,1990,6855,FALSE
CROS90,1990,10240,TRUE
CTRN90,1990,5554,TRUE
CURY90,1990,5760,TRUE
EBAY90,1990,7300,TRUE
ELIN90,1990,12830,TRUE
FBYN90,1990,6127,FALSE
FENC90,1990,5268,FALSE
HICE90,1990,5784,TRUE
HICR90,1990,7736,TRUE
JERE90,1990,2738,FALSE
LAZT90,1990,4121,TRUE
LINS90,1990,5662,TRUE
LINX90,1990,3386,FALSE
LOCK90,1990,4143,TRUE
LOOP90,1990,6810,TRUE
LOPZ90,1990,13225,TRUE
MBEN90,1990,5161,TRUE
MUME90,1990,3997,TRUE
N7RD90,1990,4846,TRUE
NBEN90,1990,9219,TRUE
NLAK90,1990,2025,TRUE
NNWX90,1990,5053,FALSE
NPOL90,1990,2279,TRUE
NRID90,1990,3664,TRUE
NWES90,1990,6163,TRUE
PAST90,1990,2386,FALSE
PLOT90,1990,6974,TRUE
ROSE90,1990,2612,FALSE
RUSS90,1990,5703,FALSE
SAPI90,1990,2328,TRUE
SARA90,1990,4832,FALSE
SCOB90,1990,3611,TRUE
SCOP90,1990,7228,TRUE
SFLA90,1990,3491,TRUE
SIBR90,1990,2407,FALSE
SIXS90,1990,3693,TRUE
SLUM90,1990,4466,TRUE
SORA90,1990,4912,TRUE
SPLT90,1990,6190,TRUE
SWAL90,1990,4020,TRUE
WAHO90,1990,4595,TRUE
WCOP90,1990,6572,TRUE
WSCR90,1990,5165,FALSE
WSIX90,1990,7676,FALSE
XRDS90,1990,6966,TRUE
ASPH91,1991,2287,TRUE
BALD91,1991,8937,FALSE
BEND91,1991,7046,TRUE
BNCH91,1991,6709,TRUE
CABS91,1991,10893,TRUE
CACT91,1991,6370,FALSE
CHOP91,1991,6207,FALSE
CURY91,1991,3596,TRUE
DEER91,1991,937,TRUE
EBAY91,1991,7937,TRUE
ELIN91,1991,4119,TRUE
FENC91,1991,3815,FALSE
HICE91,1991,4108,TRUE
JERE91,1991,3412,TRUE
LAZT91,1991,4507,TRUE
LINS91,1991,8123,TRUE
LINX91,1991,9661,FALSE
LOCK91,1991,10303,TRUE
LOOP91,1991,15957,FALSE
LOPZ91,1991,9435,TRUE
MBEN91,1991,9512,TRUE
MUME91,1991,5651,TRUE
N7RD91,1991,12120,TRUE
NBEN91,1991,7444,TRUE
NNWX91,1991,5592,FALSE
NPOL91,1991,2663,TRUE
NWES91,1991,6948,FALSE
