USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1713-49729,Q-WB,F,Y,NPOL131,4/24/2013,9/18/2013
1713-49728,Q-WY,F,Y,NPOL131,4/24/2013,10/14/2015
1713-13641,-GWQ,F,Y,NSWL101,5/9/2010,8/17/2011
1713-13626,-LLQ,F,Y,PMPE101,5/7/2010,7/15/2015
1713-49726,Q-RR,F,Y,BINX131,4/23/2013,4/16/2014
1713-49753,Q-PW,F,Y,WLIN131,5/2/2013,10/14/2015
1713-49737,Q-GR,F,Y,BIGL132,4/26/2013,3/12/2014
1513-50092,Q-PA,F,Y,NASP132,5/28/2013,7/1/2014
1603-51863,BR-Q,F,Y,WVAL092,5/7/2009,7/14/2010
1713-13317,AL-Q,F,Y,SFRR092,6/8/2009,4/14/2010
1603-51828,nY-Q,F,Y,NWTR091,4/27/2009,5/13/2009
1573-66057,Q-OR,F,Y,MERL132,6/5/2013,10/14/2015
1603-51875,PY-Q,F,Y,NXRD091,5/11/2009,6/22/2012
1603-51876,PB-Q,F,Y,NXRD091,5/11/2009,4/14/2010
1513-50088,Q-nH,F,Y,JANN131,5/25/2013,6/8/2013
1513-50099,Q-nH,F,Y,RAUL133,6/2/2013,6/3/2013
1603-51889,LR-Q,F,Y,WLIN092,5/16/2009,7/20/2011
1603-51830,WP-Q,F,Y,CHET092,4/27/2009,8/16/2010
1513-50090,Q-YR,F,Y,CRSN134,5/25/2013,10/16/2013
1513-50082,Q-PP,F,Y,SHIC132,5/25/2013,5/13/2015
1603-51832,WL-Q,F,Y,CHET092,4/27/2009,4/14/2010
1603-51897,HR-Q,F,Y,PITA092,5/23/2009,5/19/2010
1713-13373,-BGQ,F,Y,SFLS101,4/29/2010,2/12/2014
1603-51878,nO-Q,F,Y,NXRD091,5/11/2009,5/13/2009
1603-51885,nB-Q,F,Y,DICE091,5/11/2009,5/14/2009
1713-89612,Qn-H,F,Y,NASP141,4/22/2014,4/23/2014
1713-13320,WR-Q,F,Y,CURY092,6/9/2009,1/10/2011
1713-13321,nG-Q,F,Y,CURY092,6/9/2009,6/18/2009
1713-89606,QR-G,F,Y,SCOB141,4/23/2014,10/15/2014
1713-89604,QR-W,F,Y,SCOB141,4/23/2014,9/16/2015
1713-89603,QW-A,F,Y,HARY141,4/21/2014,11/12/2014
1573-66096,QW-Y,F,Y,MERL142,4/17/2014,10/14/2015
1603-51850,nH-Q,F,Y,N7RD091,5/4/2009,6/11/2009
1573-66097,QR-B,F,Y,REED142,4/21/2014,4/15/2015
1713-89601,Qn-L,F,Y,HARY141,4/21/2014,5/14/2014
1603-51857,YP-Q,F,Y,ANGL092,5/4/2009,1/18/2012
1603-51858,YO-Q,F,Y,ANGL092,5/4/2009,2/7/2011
1713-13301,OH-Q,F,Y,NPOL093,5/25/2009,4/16/2013
1573-66100,QR-O,F,Y,REED142,4/21/2014,7/15/2015
1603-51826,nR-Q,F,Y,VALL092,4/24/2009,5/13/2009
1603-51839,RB-Q,F,Y,RAUL091,5/1/2009,11/18/2009
1603-51849,GL-Q,F,Y,N7RD091,5/4/2009,8/19/2009
1713-13365,-nRQ,F,Y,EAGR101,4/29/2010,4/29/2010
1713-13347,-nLQ,F,Y,PINN101,4/25/2010,7/30/2010
1713-13482,Q-nL,F,Y,NWTR133,5/12/2013,6/25/2013
1713-49799,Q-PY,F,Y,SAND132,5/11/2013,4/15/2015
1713-49795,Q-nO,F,Y,ANGL133,5/12/2013,5/13/2013
1713-13362,-GOQ,F,Y,NWTR101,4/28/2010,5/11/2011
1713-13986,nPQ-,F,Y,SFLW111,4/15/2011,4/23/2011
1603-51899,HY-Q,F,Y,PITA092,5/23/2009,3/18/2010
1713-49789,Q-HY,F,Y,PLAZ132,5/11/2013,10/14/2015
1713-13355,-RLQ,F,Y,CHET101,4/24/2010,8/16/2010
1713-13367,-YGQ,F,Y,EAGR101,4/29/2010,7/18/2012
1713-49788,Q-YG,F,Y,CATE132,5/9/2013,11/13/2013
