JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
nHQ-,M,Y,LARB111,4/12/2011 0:00,24-Apr-11,1713-13966,12
nLQ-,M,Y,WARY111,4/14/2011 0:00,07-Jun-11,1713-13968,54
nHQ-,M,Y,WARY111,4/14/2011 0:00,14-Apr-11,1713-13969,0
WAQ-,F,Y,WARY111,4/14/2011 0:00,15-Jun-11,1713-13970,62
RWQ-,F,Y,ANGL111,4/17/2011 0:00,19-Oct-11,1713-13971,185
nRQ-,M,Y,ANGL111,4/17/2011 0:00,11-May-11,1713-13972,24
RGQ-,M,Y,ANGL111,4/17/2011 0:00,17-Sep-14,1713-13973,1249
RYQ-,F,Y,ANGL111,4/17/2011 0:00,14-Sep-11,1713-13974,150
nBQ-,F,Y,NWTR111,4/15/2011 0:00,16-Apr-11,1713-13975,1
nPQ-,F,Y,NWTR111,4/15/2011 0:00,09-Jun-11,1713-13976,55
nOQ-,M,Y,NWTR111,4/15/2011 0:00,16-Apr-11,1713-13977,1
nLQ-,M,Y,SFLC111,4/15/2011 0:00,19-Apr-11,1713-13978,4
nHQ-,F,Y,SFLC111,4/15/2011 0:00,19-Apr-11,1713-13979,4
GAQ-,M,Y,SFLC111,4/15/2011 0:00,12-Apr-16,1713-13980,1824
OWQ-,F,Y,EAGR111,4/17/2011 0:00,11-Mar-15,1713-13981,1424
ORQ-,M,Y,EAGR111,4/17/2011 0:00,16-Oct-13,1713-13982,913
nGQ-,F,Y,EAGR111,4/17/2011 0:00,02-May-11,1713-13983,15
nPQ-,F,Y,SFLW111,4/15/2011 0:00,23-Apr-11,1713-13986,8
YWQ-,F,Y,MIDG111,4/18/2011 0:00,16-Jun-11,1713-13991,59
YRQ-,F,Y,MIDG111,4/18/2011 0:00,16-Jun-11,1713-13992,59
YGQ-,F,Y,MIDG111,4/18/2011 0:00,16-Jun-11,1713-13993,59
YYQ-,F,Y,MIDG111,4/18/2011 0:00,12-Apr-16,1713-13994,1821
GBQ-,F,Y,CRSM111,4/18/2011 0:00,13-Jun-12,1713-13995,422
